Accession	log2FC
H7C2Y5	-0.22068073
O95881	-0.043298533
O00330	0.045681546
Q96GX9	0.060131017
O76071	-0.00432881
Q53EP0	0.180542077
Q13423	0.995674075
O15066	-0.115939546
P62875	0.112587318
P29728	2.478411905
Q9UIJ7	-0.02068243
O60942	-0.172877854
Q00577	0.045208144
Q9C0J8	-0.088046385
Q9UGI8	0.191679009
Q13185	0.084195127
Q15750	-0.057243952
P57105	-0.423879376
P45974	-0.15017574
P04075	0.118829232
O43617	-0.036075268
Q9BSJ2	0.45185513
Q9Y2S0	-0.213909895
Q8NHQ8	-0.138146293
Q71RC2	-0.057224869
Q86SQ0	0.176680772
P31751	-0.051942632
Q9UH17	0.050980529
Q9NYJ1	0.154998186
Q9ULK4	-0.114513892
Q92538	0.143425718
P04632	0.073112192
Q6SJ93	-0.251138548
O14686	0.035588282
Q96FV9	-0.305596952
P63104	-0.087054501
P58546	0.136677264
Q86XK2	0.216811389
Q9HA77	0.477516211
Q53T59	0.36073762
P83436	0.52368939
Q92581	-0.172366351
Q05639	-1.301954451
Q12979	-0.185431588
Q9P0P8	0.100531666
Q9H5N1	0.19361119
Q8N5A5	-0.097675931
Q14C86	0.346401329
Q9Y6D5	0.113087819
Q15434	0.111624069
Q9P0T7	0.365928665
P26641	-0.297280825
Q9UJX6	0.314788703
P51970	0.287563724
Q4G0F5	-0.049056358
Q9BQ67	-0.095252459
P11586	-0.429778345
Q8TCU4	-0.01106256
Q08AM6	0.151140162
O14879	2.386957028
P78549	0.163680787
Q86XN8	0.329938878
Q9UNN8	-0.205207978
Q9UPS8	-0.300632918
P48751	0.451438828
Q9BW66	0.075999509
Q7L7L0	-0.091401246
Q9Y259	-0.117905316
P30154	-0.02068243
Q92805	0.561552332
Q9BYG5	-0.280765633
Q99729	0.298688826
Q8TEL6	0.086091999
P27540	-0.621122164
Q5T280	0.122221226
Q96BX8	0.100531666
P53597	0.212942826
O75381	0.141497432
O60234	-0.634621925
P46977	0.156418966
P10644	-0.075999509
P51805	0.254572827
Q9Y4G6	0.211975805
O15498	0.657082056
Q8WVK2	0.027407462
Q9BRT3	0.011541622
Q53SF7	0.328964326
Q9H173	0.243388818
Q6JQN1	0.008656196
Q08623	0.065413379
Q9UBS4	-0.15261234
Q6PIJ6	0.297816844
P61026	0.019236219
Q8TED0	-0.098141091
Q96AP0	-0.047605322
Q7L5N7	-0.305494341
P62633	-0.113550593
Q07889	0.003847189
O43815	0.154998186
O76080	0.839476146
Q9BVS4	-0.051942632
H3BQ06	-0.159768132
Q9UL54	0.16271591
Q15047	-0.463689657
Q9UHL4	0.874097529
Q9Y496	-0.083699781
P15407	-0.246377062
Q9H1E3	-0.776084945
Q6STE5	0.676118886
Q86U28	-0.288535138
Q9P1F3	0.605426603
C9J1V9	-0.196509787
Q9NR28	-0.010579811
Q6XZF7	-0.118367348
Q12996	-0.218745961
Q9UHQ1	-0.403682604
Q9BVC4	0.097178193
Q9NYB9	-0.411952719
Q9Y6I4	-0.315328331
Q99590	-0.176739823
Q9H9Q4	0.250696071
Q9BUH6	0.23713444
O15530	0.11597824
O95749	0.458756746
Q6P1L5	-0.15261234
Q9NZC9	-0.091401246
Q8ND24	-0.04136009
P48739	-0.204241332
Q00341	0.448898868
P40306	1.214386324
P08263	-2.351274026
Q96D71	-0.177133809
Q9ULM6	0.183438478
Q9H1C4	0.467223531
O94967	-0.217778651
H0YGN5	-0.403682604
Q16342	-0.256511548
Q16836	0.26426876
Q5T0F9	-0.078418799
Q96F24	0.048094288
Q9NYZ3	-0.165610651
Q9BZD3	-0.050018438
Q7Z2W9	-0.04136009
Q5HYK3	-0.081306882
P69905	0.316735426
Q2M296	-0.23564259
Q9NVI1	0.086587685
Q12778	0.014910467
Q9NXD2	0.203274731
Q92733	-0.388002372
P13473	-0.739659703
P39023	-0.095252459
Q96NW7	-0.647974057
Q8TF30	0.034626343
Q8TBZ3	0.011541622
P52943	-1.065423075
Q15642	0.404104754
P29692	-0.082737185
Q6ZMG9	-0.221127454
Q96S66	0.043284098
A8MT19	-0.115477217
P80303	0.034626343
P05106	-0.456784328
P51532	0.043284098
Q8N1F8	-0.027892973
Q9ULM3	-0.045208144
Q92621	0.200892017
Q2TAA2	0.285087648
P53365	-0.016834439
P28838	1.112199162
P38606	0.144389909
Q9NY12	-0.05626286
Q71UI9	-0.216883956
Q12929	0.307004649
Q9NSC2	0.021159907
Q8IV38	0.219713321
Q14914	0.570352299
Q9H7C4	0.034626343
Q96IW7	-0.215324567
Q16718	0.015388893
P35658	0.002404092
P18583	-0.023083613
O14647	0.181507503
P35251	-0.19940878
Q6ZT12	0.089475762
Q9HAU0	-0.299660838
P18754	-0.133325855
Q96KB5	-0.049056358
O43166	-0.088046385
P24539	0.04952914
P43304	-0.316735426
O95926	-0.223583255
Q8WW12	-0.140533336
H0YIS7	-0.171855029
Q15631	-0.049056358
Q86SQ7	0.15017574
Q15058	-0.286154731
Q9NVX0	-0.115939546
P23497	1.074224585
Q86YV5	0.482871998
O00462	-0.226486232
Q12769	0.032216159
P27695	-0.752375033
Q7L5Y9	-0.18781516
Q71SY5	-0.07168054
O60462	0.852411682
Q9BRP4	0.212494854
A6NFN3	-0.149668553
Q9NXS2	0.261359365
Q8NC44	0.214877011
Q7Z2E3	-0.107771318
A0A0J9YVX5	-0.113050091
Q8NBU5	-0.257039331
Q8WWV3	-0.313815449
P08133	0.218298822
Q9UJC3	-0.468210986
P26373	-0.205207978
O94854	-0.161295602
O43422	0.097178193
O00308	0.402143694
P23786	0.101992908
Q12792	0.053866872
P48426	0.042322089
Q8N573	0.799897654
Q12906	0.012024532
P78417	0.369411562
P09912	1.55213272
Q9Y5A7	1.091532006
P08235	0.089475762
Q6PGP7	0.021159907
P48556	0.08034417
Q9HCK8	-0.423316373
Q8IWJ2	0.295436042
O75449	0.107271856
P54578	-0.199925412
O14936	0.043284098
P23368	0.174296894
Q9BWJ5	-0.090935033
Q13888	0.112587318
Q14807	0.188717973
P84243	-0.111160999
Q5TA50	-0.119330778
Q99961	0.38353177
P53803	0.079381476
Q86UL3	0.094289625
Q9NZV1	0.508210606
P21912	0.555561584
Q96QD8	0.407047038
Q06481	0.84223913
O00267	-0.148704343
P53701	0.059639887
Q9Y3D7	0.014905497
Q92620	0.037999499
P46926	0.442004547
Q8TEH3	0.028369189
Q9NWX5	-0.07168054
Q8NHU6	0.88110164
Q9Y6M7	-0.261800354
O60930	0.338713252
P25208	-0.216363972
F5H423	0.27591176
Q96EB6	0.283678716
Q99569	-0.042322089
Q9NP77	-0.018752174
O14976	0.37821384
Q9UKV8	0.001923594
Q969Y2	-0.036063244
Q6P4E1	0.445943541
O95251	-0.194061821
P05156	0.250253459
Q86VP6	-0.012503435
Q9NPH0	-0.271938599
K7EN88	-0.244439197
Q13561	-0.01010059
Q9NY35	0.003847189
Q96IG2	-0.168505724
P48553	0.093326811
P24844	0.578953766
Q4VC44	0.396819641
Q9UHW5	-0.104882008
P62820	0.357257629
Q8IZV5	0.274409891
P55042	0.246820218
P48059	0.007212288
O94900	-0.127039189
Q86SX6	-0.413915652
P11388	-0.555965644
Q99717	0.02500734
Q96ES7	0.039923764
P13010	-0.187300922
Q9C0B1	-0.110160863
P21283	0.409147223
P05026	0.22789975
Q96KG9	0.406203357
Q8WYA6	-0.276350736
Q9NZM1	1.050065853
Q5TBB1	-0.512179336
O00506	-0.195093054
Q96IK1	0.433147761
Q8WVV9	-0.35670918
Q86W92	0.076493498
Q9H444	0.147789508
P05121	1.326981323
O15550	0.194061821
P49796	0.68690867
P08621	-0.115939546
Q658P3	0.03029266
O00116	-0.036550229
Q7Z2K8	0.584361503
P15531	-0.594384707
Q8TEA7	-0.159821497
Q8N0Y7	0.176680772
Q13761	-0.101992908
Q8IVF7	0.050507902
P02462	0.733888664
O43854	-0.478917612
Q12899	-0.066845688
P17405	0.165100594
P26196	-0.327447583
Q8N9N2	-0.23035758
Q9NQT5	0.13282168
Q5F1R6	-0.348352613
Q7L8J4	0.13043395
Q9NRL3	0.265679127
O75695	0.014427071
Q8TCT8	-1.009389287
Q9NR33	-0.044719674
Q5VTR2	0.009135577
P15923	0.058677686
Q5JTZ9	-0.310357492
P52739	-0.016828828
Q9UQ88	-0.089942125
P57737	0.028369189
O00629	0.009138622
Q9GZM7	0.169470824
Q12986	-0.198442405
Q9HCE5	-0.182533967
O00159	-0.079849503
Q9NZJ4	0.005770788
Q8NF64	0.229389666
P05388	-0.122221226
Q13445	-0.424299069
Q8IY67	0.1834998
Q8IVQ6	0.066845688
Q15048	-0.086091999
P49848	-0.065413379
A0A0A0MT01	-0.644324481
Q9BXJ9	-0.257922524
P06865	-0.534630825
Q9BZE9	0.000480818
O15226	-0.11597824
Q9P0N9	0.103918951
P20248	-0.026931089
Q8WUI4	0.410128699
P34059	0.296308816
P46527	-0.38898171
Q14651	-0.118367348
Q9Y333	-0.279794732
O75347	-0.053376909
P14625	-0.289506617
O95633	0.334269075
Q14203	-0.02068243
Q6PCB7	0.021159907
Q86WC4	0.118367348
Q92540	0.101494482
Q9H0E9	0.111624069
Q12959	-0.184917716
O00217	0.284116626
Q96AE4	-0.27547265
P78357	-0.090935033
Q14683	-0.00432881
Q96QE3	-0.071656641
Q6PCE3	-0.40816584
Q96B96	0.171912459
